03/03/2026 12:46:15 | emisor@localhost -> receptor@localhost | inform | Mensaje #1
03/03/2026 12:46:15 | receptor@localhost -> emisor@localhost | confirm | Mensaje #1
03/03/2026 12:46:18 | emisor@localhost -> receptor@localhost | inform | Mensaje #2
03/03/2026 12:46:18 | receptor@localhost -> emisor@localhost | confirm | Mensaje #2
03/03/2026 12:46:21 | emisor@localhost -> receptor@localhost | inform | Mensaje #3
03/03/2026 12:46:21 | receptor@localhost -> emisor@localhost | confirm | Mensaje #3
03/03/2026 12:46:24 | emisor@localhost -> receptor@localhost | inform | Mensaje #4
03/03/2026 12:46:24 | receptor@localhost -> emisor@localhost | confirm | Mensaje #4
03/03/2026 12:46:27 | emisor@localhost -> receptor@localhost | inform | Mensaje #5
03/03/2026 12:46:27 | receptor@localhost -> emisor@localhost | confirm | Mensaje #5
03/03/2026 12:46:27 | receptor@localhost -> emisor@localhost | cancel | Limite de mensajes alcanzado
03/03/2026 12:46:27 | emisor@localhost -> receptor@localhost | confirm_cancel | Limite de mensajes alcanzado
